*i,st,t,MW
gas-cc,GA,2029,1455.2
gas-cc,GA,2030,2882.4
gas-cc,GA,2031,3625.4
gas-cc,GA,2032,3625.4
gas-cc,GA,2033,3625.4
gas-cc,GA,2034,3625.4
gas-cc,GA,2035,3625.4
gas-cc,GA,2036,3625.4
gas-cc,GA,2037,3625.4
gas-cc,GA,2038,3625.4
gas-cc,GA,2039,3625.4
gas-cc,GA,2040,3625.4
gas-cc,GA,2041,3625.4
gas-cc,GA,2042,3625.4
gas-cc,GA,2043,3625.4
gas-cc,GA,2044,3625.4
gas-cc,GA,2045,3625.4
gas-cc,GA,2046,3625.4
gas-cc,GA,2047,3625.4
gas-cc,GA,2048,3625.4
gas-cc,GA,2049,3625.4
gas-cc,GA,2050,3625.4
gas-cc,GA,2051,3625.4
gas-cc,GA,2052,3625.4
gas-cc,GA,2053,3625.4
