i,t,capcost,fom,vom,heatrate
Gas-CC-CCS_mod,2010,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2011,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2012,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2013,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2014,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2015,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2016,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2017,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2018,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2019,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2020,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2021,2572.02,68.796,5.0004,7.22
Gas-CC-CCS_mod,2022,2656.6,70.7,5.11,7.22
Gas-CC-CCS_mod,2023,2605.9,69.3,5.04,7.191
Gas-CC-CCS_mod,2024,2555.2,67.9,4.96,7.162
Gas-CC-CCS_mod,2025,5009,66.6,4.88,7.134
Gas-CC-CCS_mod,2026,4907.6,65.2,4.8,7.105
Gas-CC-CCS_mod,2027,4806.2,63.8,4.72,7.076
Gas-CC-CCS_mod,2028,4704.6,62.4,4.64,7.048
Gas-CC-CCS_mod,2029,4603.2,61.1,4.57,7.019
Gas-CC-CCS_mod,2030,4501.8,59.7,4.49,6.99
Gas-CC-CCS_mod,2031,4400.4,58.3,4.41,6.961
Gas-CC-CCS_mod,2032,4299,56.9,4.33,6.933
Gas-CC-CCS_mod,2033,4197.6,55.5,4.25,6.904
Gas-CC-CCS_mod,2034,4096.2,54.2,4.17,6.875
Gas-CC-CCS_mod,2035,3994.8,52.8,4.1,6.847
Gas-CC-CCS_mod,2036,3949.2,52.2,4.07,6.847
Gas-CC-CCS_mod,2037,3903.6,51.7,4.04,6.847
Gas-CC-CCS_mod,2038,3857.8,51.1,4.01,6.847
Gas-CC-CCS_mod,2039,3812.2,50.5,3.98,6.847
Gas-CC-CCS_mod,2040,3766.6,50.0,3.95,6.847
Gas-CC-CCS_mod,2041,3721,49.4,3.92,6.847
Gas-CC-CCS_mod,2042,3675.2,48.9,3.89,6.847
Gas-CC-CCS_mod,2043,3629.6,48.3,3.86,6.847
Gas-CC-CCS_mod,2044,3584,47.8,3.84,6.847
Gas-CC-CCS_mod,2045,3538.4,47.2,3.81,6.847
Gas-CC-CCS_mod,2046,3492.8,46.6,3.78,6.847
Gas-CC-CCS_mod,2047,3447,46.1,3.75,6.847
Gas-CC-CCS_mod,2048,3401.4,45.5,3.72,6.847
Gas-CC-CCS_mod,2049,3355.8,45.0,3.69,6.847
Gas-CC-CCS_mod,2050,3310.2,44.4,3.66,6.847
Gas-CC_H_1x1-CCS_mod,2010,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2011,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2012,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2013,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2014,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2015,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2016,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2017,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2018,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2019,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2020,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2021,2874.2,75.9,5.19,6.848
Gas-CC_H_1x1-CCS_mod,2022,2968.7,78,5.3,6.848
Gas-CC_H_1x1-CCS_mod,2023,2923.5,76.8,5.23,6.835
Gas-CC_H_1x1-CCS_mod,2024,2878.3,75.6,5.17,6.822
Gas-CC_H_1x1-CCS_mod,2025,5666.2,74.4,5.1,6.808
Gas-CC_H_1x1-CCS_mod,2026,5575.8,73.2,5.03,6.795
Gas-CC_H_1x1-CCS_mod,2027,5485.4,72,4.96,6.782
Gas-CC_H_1x1-CCS_mod,2028,5395.2,70.9,4.89,6.769
Gas-CC_H_1x1-CCS_mod,2029,5304.8,69.7,4.82,6.756
Gas-CC_H_1x1-CCS_mod,2030,5214.4,68.5,4.76,6.743
Gas-CC_H_1x1-CCS_mod,2031,5124,67.3,4.69,6.73
Gas-CC_H_1x1-CCS_mod,2032,5033.6,66.1,4.62,6.716
Gas-CC_H_1x1-CCS_mod,2033,4943.2,64.9,4.55,6.703
Gas-CC_H_1x1-CCS_mod,2034,4852.8,63.7,4.48,6.69
Gas-CC_H_1x1-CCS_mod,2035,4762.4,62.5,4.41,6.677
Gas-CC_H_1x1-CCS_mod,2036,4707.8,61.9,4.38,6.677
Gas-CC_H_1x1-CCS_mod,2037,4653,61.2,4.34,6.677
Gas-CC_H_1x1-CCS_mod,2038,4598.4,60.5,4.31,6.677
Gas-CC_H_1x1-CCS_mod,2039,4543.8,59.9,4.28,6.677
Gas-CC_H_1x1-CCS_mod,2040,4489,59.2,4.24,6.677
Gas-CC_H_1x1-CCS_mod,2041,4434.4,58.5,4.21,6.677
Gas-CC_H_1x1-CCS_mod,2042,4379.8,57.9,4.17,6.677
Gas-CC_H_1x1-CCS_mod,2043,4325,57.2,4.14,6.677
Gas-CC_H_1x1-CCS_mod,2044,4270.4,56.5,4.1,6.677
Gas-CC_H_1x1-CCS_mod,2045,4215.8,55.9,4.07,6.677
Gas-CC_H_1x1-CCS_mod,2046,4161,55.2,4.03,6.677
Gas-CC_H_1x1-CCS_mod,2047,4106.4,54.5,4,6.677
Gas-CC_H_1x1-CCS_mod,2048,4051.8,53.9,3.96,6.677
Gas-CC_H_1x1-CCS_mod,2049,3997,53.2,3.93,6.677
Gas-CC_H_1x1-CCS_mod,2050,3942.4,52.5,3.89,6.677
Gas-CC_H_2x1-CCS_mod,2010,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2011,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2012,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2013,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2014,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2015,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2016,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2017,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2018,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2019,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2020,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2021,2443.7,64,4.76,7.007
Gas-CC_H_2x1-CCS_mod,2022,2524.1,65.8,4.86,7.007
Gas-CC_H_2x1-CCS_mod,2023,2479.2,64.7,4.79,6.986
Gas-CC_H_2x1-CCS_mod,2024,2434.2,63.5,4.73,6.966
Gas-CC_H_2x1-CCS_mod,2025,4778.4,62.3,4.66,6.945
Gas-CC_H_2x1-CCS_mod,2026,4688.4,61.1,4.59,6.925
Gas-CC_H_2x1-CCS_mod,2027,4598.4,60,4.52,6.904
Gas-CC_H_2x1-CCS_mod,2028,4508.6,58.8,4.45,6.884
Gas-CC_H_2x1-CCS_mod,2029,4418.6,57.6,4.39,6.863
Gas-CC_H_2x1-CCS_mod,2030,4328.6,56.4,4.32,6.843
Gas-CC_H_2x1-CCS_mod,2031,4238.6,55.3,4.25,6.822
Gas-CC_H_2x1-CCS_mod,2032,4148.6,54.1,4.18,6.802
Gas-CC_H_2x1-CCS_mod,2033,4058.6,52.9,4.12,6.781
Gas-CC_H_2x1-CCS_mod,2034,3968.8,51.7,4.05,6.761
Gas-CC_H_2x1-CCS_mod,2035,3878.8,50.5,3.98,6.74
Gas-CC_H_2x1-CCS_mod,2036,3834.4,50,3.95,6.74
Gas-CC_H_2x1-CCS_mod,2037,3790,49.5,3.92,6.74
Gas-CC_H_2x1-CCS_mod,2038,3745.6,48.9,3.9,6.74
Gas-CC_H_2x1-CCS_mod,2039,3701.2,48.4,3.87,6.74
Gas-CC_H_2x1-CCS_mod,2040,3656.8,47.8,3.84,6.74
Gas-CC_H_2x1-CCS_mod,2041,3612.4,47.3,3.81,6.74
Gas-CC_H_2x1-CCS_mod,2042,3568.2,46.8,3.78,6.74
Gas-CC_H_2x1-CCS_mod,2043,3523.8,46.2,3.75,6.74
