i,t,capcost,fom,vom,heatrate
Gas-CC,2010,1141.254325,31.24999307,1.991757801,6.5375
Gas-CC,2011,1136.675573,31.24999307,1.991757801,6.518111111
Gas-CC,2012,1132.096819,31.24999307,1.991757801,6.498722222
Gas-CC,2013,1127.518066,31.24999307,1.991757801,6.479333333
Gas-CC,2014,1122.939312,31.24999307,1.991757801,6.459944444
Gas-CC,2015,1118.360558,31.24999307,1.991757801,6.440555556
Gas-CC,2016,1113.781805,31.24999307,1.991757801,6.421166667
Gas-CC,2017,1109.203051,31.24999307,1.991757801,6.401777778
Gas-CC,2018,1104.624297,31.24999307,1.991757801,6.382388889
Gas-CC,2019,1100.045544,31.24999307,1.991757801,6.363
Gas-CC,2020,1070.809499,31.66068212,1.967485246,6.363
Gas-CC,2021,1205.712,33.588,2.1168,6.363
Gas-CC,2022,1245.4,34.5,2.17,6.363
Gas-CC,2023,1234.7,34.1,2.15,6.348
Gas-CC,2024,1223.9,33.8,2.14,6.332
Gas-CC,2025,2426.2,33.5,2.12,6.316
Gas-CC,2026,2404.8,33.1,2.1,6.3
Gas-CC,2027,2383.2,32.8,2.09,6.285
Gas-CC,2028,2361.6,32.4,2.07,6.269
Gas-CC,2029,2340.2,32.1,2.06,6.253
Gas-CC,2030,2318.6,31.8,2.04,6.238
Gas-CC,2031,2297,31.4,2.02,6.222
Gas-CC,2032,2275.6,31.1,2.01,6.206
Gas-CC,2033,2254,30.7,1.99,6.19
Gas-CC,2034,2232.4,30.4,1.98,6.175
Gas-CC,2035,2211,30.1,1.96,6.159
Gas-CC,2036,2192.8,29.8,1.95,6.159
Gas-CC,2037,2174.6,29.6,1.94,6.159
Gas-CC,2038,2156.4,29.4,1.93,6.159
Gas-CC,2039,2138,29.2,1.91,6.159
Gas-CC,2040,2119.8,29,1.9,6.159
Gas-CC,2041,2101.6,28.7,1.89,6.159
Gas-CC,2042,2083.4,28.5,1.88,6.159
Gas-CC,2043,2065.2,28.3,1.87,6.159
Gas-CC,2044,2047,28.1,1.86,6.159
Gas-CC,2045,2028.8,27.8,1.85,6.159
Gas-CC,2046,2010.6,27.6,1.83,6.159
Gas-CC,2047,1992.4,27.4,1.82,6.159
Gas-CC,2048,1974.2,27.2,1.81,6.159
Gas-CC,2049,1956,27,1.8,6.159
Gas-CC,2050,1937.8,26.7,1.79,6.159
Gas-CT,2010,1059.98145,23.92398737,5.654760652,10.2225
Gas-CT,2011,1050.823943,23.92398737,5.654760652,10.16633333
Gas-CT,2012,1041.666436,23.92398737,5.654760652,10.11016667
Gas-CT,2013,1032.508929,23.92398737,5.654760652,10.054
Gas-CT,2014,1023.351422,23.92398737,5.654760652,9.997833333
Gas-CT,2015,1014.193915,23.92398737,5.654760652,9.941666667
Gas-CT,2016,1005.036407,23.92398737,5.654760652,9.8855
Gas-CT,2017,995.8789002,23.92398737,5.654760652,9.829333333
Gas-CT,2018,986.7213932,23.92398737,5.654760652,9.773166667
Gas-CT,2019,977.563886,23.92398737,5.654760652,9.717
Gas-CT,2020,950.9512022,23.74551159,5.585848916,9.717
Gas-CT,2021,1082.808,25.92,6.9552,9.717
Gas-CT,2022,1110.4,26.1,6.94,9.717
Gas-CT,2023,1101.6,26,6.94,9.717
Gas-CT,2024,1092.8,25.8,6.94,9.717
Gas-CT,2025,2168,25.7,6.94,9.717
Gas-CT,2026,2150.4,25.6,6.94,9.717
Gas-CT,2027,2132.8,25.4,6.94,9.717
Gas-CT,2028,2115.2,25.3,6.94,9.717
Gas-CT,2029,2097.8,25.1,6.94,9.717
Gas-CT,2030,2080.2,25,6.94,9.717
Gas-CT,2031,2062.6,24.8,6.94,9.717
Gas-CT,2032,2045,24.7,6.94,9.717
Gas-CT,2033,2027.4,24.5,6.94,9.717
Gas-CT,2034,2009.8,24.4,6.94,9.717
Gas-CT,2035,1992.2,24.2,6.94,9.717
Gas-CT,2036,1974.6,24.1,6.94,9.717
Gas-CT,2037,1957.2,23.9,6.94,9.717
Gas-CT,2038,1939.6,23.8,6.94,9.717
Gas-CT,2039,1922,23.7,6.94,9.717
Gas-CT,2040,1904.4,23.5,6.94,9.717
Gas-CT,2041,1886.8,23.4,6.94,9.717
Gas-CT,2042,1869.2,23.2,6.94,9.717
Gas-CT,2043,1851.6,23.1,6.94,9.717
Gas-CT,2044,1834,22.9,6.94,9.717
Gas-CT,2045,1816.6,22.8,6.94,9.717
Gas-CT,2046,1799,22.6,6.94,9.717
Gas-CT,2047,1781.4,22.5,6.94,9.717
Gas-CT,2048,1763.8,22.3,6.94,9.717
Gas-CT,2049,1746.2,22.2,6.94,9.717
Gas-CT,2050,1728.6,22,6.94,9.717
